team_name,player_name,region,player_id,team_id,player_id_mapped,player_known_flag,rookie_flag,data_available
team vitality,unfake,EMEA,4521,2059,4521,1,0,yes
team vitality,derke,EMEA,5022,2059,5022,1,0,yes
team vitality,profek,EMEA,5554,2059,5554,1,0,yes
team vitality,jamppi,EMEA,9780,2059,9780,1,0,yes
ulf esports,sturnn,EMEA,12226,NEW_2026,,1,0,yes
ulf esports,nekky,EMEA,12670,NEW_2026,,1,0,yes
ulf esports,d3mur,EMEA,16447,NEW_2026,,1,0,yes
ulf esports,audaz,EMEA,UNKNOWN_PLAYER,NEW_2026,,0,1,no
ulf esports,favian,EMEA,UNKNOWN_PLAYER,NEW_2026,,0,1,no
pcific esports,cned,EMEA,573,3478,573,1,0,yes
pcific esports,al0rante,EMEA,5292,3478,,1,0,yes
pcific esports,qpert,EMEA,7105,3478,,1,0,yes
pcific esports,seven,EMEA,18409,3478,,1,0,yes
pcific esports,ninja,EMEA,1022,3478,,1,0,yes
detonation focusme,meiy,Pacific,6672,278,6672,1,0,yes
detonation focusme,akame,Pacific,10520,278,13002,1,0,yes
detonation focusme,ssees,Pacific,21438,278,21438,1,0,yes
detonation focusme,caedye,Pacific,UNKNOWN_PLAYER,278,,0,1,no
detonation focusme,yatsuka,Pacific,UNKNOWN_PLAYER,278,,0,1,no
drx,free1ng,Pacific,1916,8185,1916,1,0,yes
drx,mako,Pacific,4462,8185,4462,1,0,yes
drx,beyn,Pacific,4678,8185,4678,1,0,yes
drx,hermes,Pacific,17049,8185,,1,0,yes
drx,hyunmin,Pacific,28400,8185,28400,1,0,yes
full sense,killua,Pacific,13784,4050,13784,1,0,yes
full sense,jitboys,Pacific,13788,4050,13788,1,0,yes
full sense,primmie,Pacific,25255,4050,25255,1,0,yes
full sense,leviathan,Pacific,11440,4050,,1,0,yes
full sense,thyy,Pacific,42901,4050,42901,1,0,yes
gen.g,lakia,Pacific,773,17,,1,0,yes
gen.g,t3xture,Pacific,9196,17,9196,1,0,yes
gen.g,ash,Pacific,19664,17,25017,1,0,yes
gen.g,karon,Pacific,16191,17,34974,1,0,yes
gen.g,zynx,Pacific,UNKNOWN_PLAYER,17,,0,1,no
global esports,autumn,Pacific,872,918,872,1,0,yes
global esports,udotan,Pacific,4428,918,4428,1,0,yes
global esports,kr1stal,Pacific,5796,918,5796,1,0,yes
global esports,xavi8k,Pacific,7754,918,,1,0,yes
global esports,patmen,Pacific,13744,918,13744,1,0,yes
paper rex,jinggg,Pacific,7378,624,7378,1,0,yes
paper rex,invy,Pacific,8504,624,8504,1,0,yes
paper rex,f0rsaken,Pacific,9801,624,12088,1,0,yes
paper rex,d4v41,Pacific,9803,624,9803,1,0,yes
paper rex,something,Pacific,17086,624,17086,1,0,yes
rex regum qeon,crazyguy,Pacific,1430,878,1430,1,0,yes
rex regum qeon,kushy,Pacific,4866,878,4866,1,0,yes
rex regum qeon,xffero,Pacific,4871,878,4871,1,0,yes
rex regum qeon,monyet,Pacific,8497,878,8497,1,0,yes
rex regum qeon,jemkin,Pacific,24895,878,24895,1,0,yes
t1,stax,Pacific,485,14,485,1,0,yes
t1,buzz,Pacific,804,14,804,1,0,yes
t1,munchkin,Pacific,2489,14,2489,1,0,yes
t1,meteor,Pacific,13039,14,13039,1,0,yes
t1,izu,Pacific,29833,14,29833,1,0,yes
team secret,jessievash,Pacific,2334,6199,2334,1,0,yes
team secret,sylvan,Pacific,4056,6199,4056,1,0,yes
team secret,berserx,Pacific,4874,6199,4874,1,0,yes
team secret,kellys,Pacific,7437,6199,7437,1,0,yes
team secret,tenten,Pacific,29839,6199,29839,1,0,yes
zeta division,eko,Pacific,1960,5448,,1,0,yes
zeta division,sugarz3ro,Pacific,6668,5448,6668,1,0,yes
zeta division,syouta,Pacific,12990,5448,12990,1,0,yes
zeta division,xdll,Pacific,25221,5448,25221,1,0,yes
zeta division,absol,Pacific,UNKNOWN_PLAYER,5448,,0,1,no
varrel,c1nder,Pacific,2149,NEW_2026,,1,0,yes
varrel,klaus,Pacific,2610,NEW_2026,,1,0,yes
varrel,oonzmlp,Pacific,UNKNOWN_PLAYER,NEW_2026,,0,1,no
varrel,zexy,Pacific,UNKNOWN_PLAYER,NEW_2026,,0,1,no
varrel,xuna,Pacific,UNKNOWN_PLAYER,NEW_2026,,0,1,no
nongshim redforce,rb,Pacific,488,11060,488,1,0,yes
nongshim redforce,dambi,Pacific,31827,11060,31827,1,0,yes
nongshim redforce,francis,Pacific,31828,11060,31828,1,0,yes
nongshim redforce,ivy,Pacific,31829,11060,31829,1,0,yes
nongshim redforce,xross,Pacific,UNKNOWN_PLAYER,11060,,0,1,no
all gamers,f4ngeer,China,UNKNOWN_PLAYER,1119,,0,1,no
all gamers,shr1mp,China,25494,1119,25494,1,0,yes
all gamers,k1ra,China,46748,1119,46748,1,0,yes
all gamers,au1,China,UNKNOWN_PLAYER,1119,,0,1,no
all gamers,iamgrq,China,UNKNOWN_PLAYER,1119,,0,1,no
guangzhou huadu bilibili gaming,knight,China,11206,12010,4774,1,0,yes
guangzhou huadu bilibili gaming,whzy,China,4885,12010,4885,1,0,yes
guangzhou huadu bilibili gaming,nephh,China,10698,12010,10698,1,0,yes
guangzhou huadu bilibili gaming,rushia,China,48878,12010,48878,1,0,yes
guangzhou huadu bilibili gaming,bud,China,UNKNOWN_PLAYER,12010,,0,1,no
edward gaming,nobody,China,9189,1120,3017,1,0,yes
edward gaming,zmjjkk,China,3520,1120,3520,1,0,yes
edward gaming,smoggy,China,4742,1120,4742,1,0,yes
edward gaming,chichoo,China,15559,1120,15559,1,0,yes
edward gaming,cb,China,39697,1120,39697,1,0,yes
funplus phoenix,life,China,3028,628,3028,1,0,yes
funplus phoenix,sscary,China,4382,628,,1,0,yes
funplus phoenix,berlin,China,7857,628,7857,1,0,yes
funplus phoenix,aaaay,China,19530,628,19530,1,0,yes
funplus phoenix,setrod,China,UNKNOWN_PLAYER,628,,0,1,no
jd mall jdg esports,jkuro,China,3519,13576,3519,1,0,yes
jd mall jdg esports,yuicaw,China,11218,13576,11218,1,0,yes
jd mall jdg esports,coconut,China,12365,13576,12365,1,0,yes
jd mall jdg esports,stew,China,16924,13576,16924,1,0,yes
jd mall jdg esports,zhe,China,UNKNOWN_PLAYER,13576,,0,1,no
nova esports,heybay,China,4712,12064,4712,1,0,yes
nova esports,green,China,UNKNOWN_PLAYER,12064,,0,1,no
nova esports,obone,China,36670,12064,36670,1,0,yes
nova esports,guang,China,41054,12064,41054,1,0,yes
nova esports,ezeir,China,46460,12064,46460,1,0,yes
wuxi titan esports club,haodong,China,4720,14137,4720,1,0,yes
wuxi titan esports club,abo,China,5011,14137,5011,1,0,yes
wuxi titan esports club,lucas,China,9522,14137,19677,1,0,yes
wuxi titan esports club,dynamite,China,42235,14137,42235,1,0,yes
wuxi titan esports club,coco,China,10216,14137,47629,1,0,yes
